,Year,Q,Quarter,Day of Week,Gross USD,key,Benchmark,% of Benchmark
0,2009,Q1,2009 Q1,Friday   ,247656.0,Q1_Friday   ,305268.3,81.13
1,2009,Q1,2009 Q1,Saturday ,186563.0,Q1_Saturday ,333070.6,56.01
2,2009,Q1,2009 Q1,Sunday   ,99400.0,Q1_Sunday   ,57684.333333333336,172.32
3,2009,Q2,2009 Q2,Friday   ,390351.0,Q2_Friday   ,342480.2,113.98
4,2009,Q2,2009 Q2,Monday   ,89144.0,Q2_Monday   ,158861.0,56.11
5,2009,Q2,2009 Q2,Saturday ,248565.0,Q2_Saturday ,320159.0,77.64
6,2009,Q2,2009 Q2,Sunday   ,58643.0,Q2_Sunday   ,194014.625,30.23
7,2009,Q2,2009 Q2,Thursday ,338917.0,Q2_Thursday ,362335.4,93.54
8,2009,Q2,2009 Q2,Tuesday  ,535864.0,Q2_Tuesday  ,324610.6,165.08
9,2009,Q2,2009 Q2,Wednesday,349335.0,Q2_Wednesday,285785.2,122.24
10,2009,Q3,2009 Q3,Friday   ,360270.0,Q3_Friday   ,248087.4,145.22
11,2009,Q3,2009 Q3,Monday   ,60306.0,Q3_Monday   ,105072.33333333333,57.39
12,2009,Q3,2009 Q3,Saturday ,138600.0,Q3_Saturday ,197230.8,70.27
13,2009,Q3,2009 Q3,Sunday   ,357362.0,Q3_Sunday   ,183564.0,194.68
14,2009,Q3,2009 Q3,Thursday ,234090.5,Q3_Thursday ,211035.125,110.92
15,2009,Q3,2009 Q3,Tuesday  ,55797.0,Q3_Tuesday  ,168808.0,33.05
16,2009,Q3,2009 Q3,Wednesday,471065.0,Q3_Wednesday,233198.75,202.0
17,2009,Q4,2009 Q4,Friday   ,372055.0,Q4_Friday   ,415118.6,89.63
18,2009,Q4,2009 Q4,Monday   ,203203.0,Q4_Monday   ,269400.9,75.43
19,2009,Q4,2009 Q4,Saturday ,243373.0,Q4_Saturday ,363418.8,66.97
20,2009,Q4,2009 Q4,Sunday   ,136150.0,Q4_Sunday   ,177103.1,76.88
21,2009,Q4,2009 Q4,Thursday ,514282.5,Q4_Thursday ,281176.625,182.9
22,2009,Q4,2009 Q4,Tuesday  ,136150.0,Q4_Tuesday  ,250465.2,54.36
23,2009,Q4,2009 Q4,Wednesday,62564.0,Q4_Wednesday,110947.2,56.39
24,2010,Q1,2010 Q1,Friday   ,553958.0,Q1_Friday   ,305268.3,181.47
25,2010,Q1,2010 Q1,Saturday ,441501.0,Q1_Saturday ,333070.6,132.55
26,2010,Q1,2010 Q1,Thursday ,111355.0,Q1_Thursday ,192778.5,57.76
