,Year,Q,Quarter,Artist Genre,Gross USD,key,Benchmark,% of Benchmark
0,2009,Q1,2009 Q1,Hip Hop,85163.0,Q1_Hip Hop,95225.5,89.43
1,2009,Q1,2009 Q1,Indie,99400.0,Q1_Indie,76606.2,129.75
2,2009,Q1,2009 Q1,Punk or Metal,91000.0,Q1_Punk or Metal,89718.75,101.43
3,2009,Q1,2009 Q1,Rock,98000.0,Q1_Rock,99971.225,98.03
4,2009,Q1,2009 Q1,Soul,74893.0,Q1_Soul,109386.5,68.47
5,2009,Q2,2009 Q2,Blues,134514.75,Q2_Blues,134514.75,100.0
6,2009,Q2,2009 Q2,Folk,72883.75,Q2_Folk,101173.7125,72.04
7,2009,Q2,2009 Q2,Indie,88535.8,Q2_Indie,87952.96952380952,100.66
8,2009,Q2,2009 Q2,Pop,119786.0,Q2_Pop,103234.8125,116.03
9,2009,Q2,2009 Q2,Punk or Metal,119444.0,Q2_Punk or Metal,89448.5,133.53
10,2009,Q2,2009 Q2,Rock,83219.33333333333,Q2_Rock,97297.01666666666,85.53
11,2009,Q3,2009 Q3,Electronic,81750.0,Q3_Electronic,95816.1,85.32
12,2009,Q3,2009 Q3,Folk,63000.0,Q3_Folk,69841.375,90.2
13,2009,Q3,2009 Q3,Indie,83211.5,Q3_Indie,83717.04000000001,99.4
14,2009,Q3,2009 Q3,Pop,200854.5,Q3_Pop,120966.25,166.04
15,2009,Q3,2009 Q3,Punk or Metal,73095.0,Q3_Punk or Metal,66610.0,109.74
16,2009,Q3,2009 Q3,Rock,100243.125,Q3_Rock,99114.875,101.14
17,2009,Q3,2009 Q3,Soul,124000.0,Q3_Soul,114197.5,108.58
18,2009,Q4,2009 Q4,Folk,80848.0,Q4_Folk,93938.75,86.06
19,2009,Q4,2009 Q4,Hip Hop,62564.0,Q4_Hip Hop,94407.75,66.27
20,2009,Q4,2009 Q4,Indie,97940.0,Q4_Indie,84105.78666666668,116.45
21,2009,Q4,2009 Q4,Pop,136088.25,Q4_Pop,131360.52083333334,103.6
22,2009,Q4,2009 Q4,Punk or Metal,68107.5,Q4_Punk or Metal,89123.9,76.42
23,2009,Q4,2009 Q4,Rock,115011.75,Q4_Rock,94105.0625,122.22
24,2010,Q1,2010 Q1,Blues,215000.0,Q1_Blues,145463.16666666666,147.8
25,2010,Q1,2010 Q1,Country,104356.0,Q1_Country,129178.0,80.78
26,2010,Q1,2010 Q1,Electronic,83539.0,Q1_Electronic,73839.0,113.14
27,2010,Q1,2010 Q1,Indie,73971.0,Q1_Indie,76606.2,96.56
28,2010,Q1,2010 Q1,Other,109958.0,Q1_Other,72572.55555555555,151.51
29,2010,Q1,2010 Q1,Rock,83854.0,Q1_Rock,99971.225,83.88
30,2010,Q1,2010 Q1,Soul,143880.0,Q1_Soul,109386.5,131.53
31,2010,Q2,2010 Q2,Country,73866.0,Q2_Country,73866.0,100.0
32,2010,Q2,2010 Q2,Electronic,82600.0,Q2_Electronic,92388.5,89.41
33,2010,Q2,2010 Q2,Folk,85713.5,Q2_Folk,101173.7125,84.72
34,2010,Q2,2010 Q2,Hip Hop,101740.0,Q2_Hip Hop,93278.83333333334,109.07
35,2010,Q2,2010 Q2,Indie,80838.0,Q2_Indie,87952.96952380952,91.91
36,2010,Q2,2010 Q2,Other,70000.0,Q2_Other,79803.0,87.72
37,2010,Q2,2010 Q2,Pop,87505.5,Q2_Pop,103234.8125,84.76
38,2010,Q2,2010 Q2,Punk or Metal,74705.0,Q2_Punk or Metal,89448.5,83.52
39,2010,Q2,2010 Q2,Rock,112503.0,Q2_Rock,97297.01666666666,115.63
40,2010,Q3,2010 Q3,Blues,121323.33333333333,Q3_Blues,119019.16666666666,101.94
41,2010,Q3,2010 Q3,Electronic,96868.5,Q3_Electronic,95816.1,101.1
42,2010,Q3,2010 Q3,Folk,52946.0,Q3_Folk,69841.375,75.81
43,2010,Q3,2010 Q3,Indie,57550.0,Q3_Indie,83717.04000000001,68.74
