Start Date,Num Shows,Headliner,Support,Tickets Sold,Gross USD,Gross Gate,Currency,Venue Capacity,Percentage Sold,Ticket Price Min,Ticket Price Max,Venue Name,Venue City,Venue State,Venue Country,Promoter
2009-02-05,1,Trombone Shorty & Orleans Avenue,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2009-02-06,1,Social Distortion,"The Black Tibetans, The Devil Makes Three",2800.0,91000.0,91000.0,US DOLLAR,2800.0,100.0,32.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-02-07,1,Michael Franti & Spearhead,"ALO (Animal Liberation Orchestra), Solillaquists Of Sound",2800.0,88563.0,88563.0,US DOLLAR,2800.0,100.0,32.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-02-13,1,Will Downing,Gerald Albright,1947.0,74893.0,74893.0,US DOLLAR,1947.0,100.0,39.5,49.5,Fox Theater,Oakland,CA,United States,"Another Planet Entertainment, Bay Area Productions"
2009-02-20,1,"""Ragga Muffins Festival""","Julian Marley, K'naan, Lee ""Scratch"" Perry, Rootz Underground, Stephen Marley",2163.0,81763.0,81763.0,US DOLLAR,2800.0,78.0,37.5,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-02-21,1,CAKE,The Lovemakers,2800.0,98000.0,98000.0,US DOLLAR,2800.0,100.0,35.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-02-22,1,Modest Mouse,"Japanese Motors, Mimicking Birds",2800.0,99400.0,99400.0,US DOLLAR,2800.0,100.0,35.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-04-02,1,Tesla,The Leo Project,1240.0,40300.0,40300.0,US DOLLAR,1900.0,66.0,32.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-04-03,1,The Moody Blues,,1689.0,120802.0,120802.0,US DOLLAR,1689.0,100.0,45.0,85.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-04-14,1,Green Day,,2413.0,119444.0,119444.0,US DOLLAR,2413.0,100.0,49.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-04-15,1,Franz Ferdinand,Born Ruffians,2501.0,87535.0,87535.0,US DOLLAR,2501.0,100.0,34.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-04-16,1,B.B. King,Lukas Nelson &amp; Promise Of The Real,1887.0,126459.0,126459.0,US DOLLAR,1887.0,100.0,45.5,85.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-04-17,1,Band Of Horses,"A Decent Animal, Everest, The Drones",2800.0,82600.0,82600.0,US DOLLAR,2800.0,100.0,29.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-04-18,1,The Black Keys,Thee Make Out Party,2800.0,84000.0,84000.0,US DOLLAR,2800.0,100.0,30.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-04-19,1,Common,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2009-04-20,1,Bloc Party,Menomena,2661.0,89144.0,89144.0,US DOLLAR,2661.0,100.0,33.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-04-21,1,Fleet Foxes,Blitzen Trapper,2532.0,56970.0,56970.0,US DOLLAR,2532.0,100.0,22.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-04-23,1,Jeff Beck,Davy Knowles,2800.0,172158.0,172158.0,US DOLLAR,2800.0,100.0,49.5,65.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-05-05,1,Seal,Peter Cincotti,1729.0,119786.0,119786.0,US DOLLAR,1729.0,100.0,50.0,80.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-05-08,1,Keane,The Helio Sequence,2674.0,102949.0,102949.0,US DOLLAR,2800.0,96.0,38.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-05-09,1,The Shins,Delta Spirit,2800.0,99400.0,99400.0,US DOLLAR,2800.0,100.0,35.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-05-12,2,The Allman Brothers Band,Warren Haynes,2800.0,163800.0,327600.0,US DOLLAR,2800.0,100.0,58.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
