Start Date,End Date,Num Shows,Headliner,Support,Tickets Sold,Gross USD,Gross Gate,Currency,Venue Capacity,Percentage Sold,Ticket Price Min,Ticket Price Max,Venue Name,Venue City,Venue State,Venue Country,Promoter
10/2/2019,,1,Charli XCX,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
10/1/2019,,1,Cigarettes After Sex,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/28/2019,,1,Jenny Lewis,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/27/2019,,1,Loud Luxury,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/26/2019,,1,Oliver Tree - Goodbye Farewell Tour,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/25/2019,,1,Hot Chip,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/24/2019,,1,Lewis Capaldi,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/21/2019,,1,Diana Krall,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/20/2019,,1,The Tallest Man On Earth,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/13/2019,,1,The Zombies / Brian Wilson,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/10/2019,,1,Tony Bennett,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/5/2019,9/6/2019,2,An Evening with King Crimson,,3221,311044,311044,US DOLLAR,1900,85,65,149.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
8/31/2019,8/31/2019,1,Bryan Ferry,Femme Schmidt,1931,172015,172015,US DOLLAR,1931,100,59.5,249.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
8/23/2019,8/23/2019,1,DANIEL CAESAR - CASE STUDY 01: TOUR,Koffee,2957,107410,107410,US DOLLAR,2957,100,35,49.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
8/14/2019,8/14/2019,1,Kirk Franklin - The Long Live Love Tour,Travele Judon,1288,85120,85120,US DOLLAR,1847,70,45,85,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
8/9/2019,8/9/2019,1,Paul Simon - A Very Special Outside Lands Pop-Up Show,,1941,245813,245813,US DOLLAR,1941,100,68.5,128.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
7/26/2019,7/26/2019,1,Jill Scott,DJ Funklor,1718,173289,173289,US DOLLAR,1844,94,69.5,165,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
7/23/2019,7/24/2019,2,The Raconteurs,"Lillie Mae, Melvins",5854,417493,417493,US DOLLAR,2927,100,69.5,89.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
7/18/2019,7/18/2019,1,Last Podcast On The Left,,1741,87840,87840,US DOLLAR,1917,91,25,150,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
7/5/2019,7/5/2019,1,Mac Dre B-day Celebration,"Andre Nickatina, Baby Bash, Berner, Coolio Da Unda Dogg, D-Lo, Husalah, J-Diggs, Lil B, Lil Jon, Mac Dre, Mistah Fab, Myles Parrish, San Quinn",2199,78735,78735,US DOLLAR,2500,88,35,40,Fox Theater,Oakland,CA,United States,"Ankh Marketing, Another Planet Entertainment"
6/28/2019,6/28/2019,1,Josh Ritter w/ Royal City Band,Penny and Sparrow,992,45720,45720,US DOLLAR,1500,67,35,55,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
6/25/2019,6/25/2019,1,David Gray,,1448,103127,103127,US DOLLAR,1800,81,35,95,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
6/21/2019,6/21/2019,1,Local Natives - Spiral Choir Tour 2019,Middle Kids,2828,108893,108893,US DOLLAR,2828,100,38.5,40,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
6/7/2019,6/7/2019,1,B&eacute;la Fleck &amp; The Flecktones,,1244,70325,70325,US DOLLAR,1893,66,45,70,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
6/4/2019,6/5/2019,2,Rainbow Kitten Surprise,,5259,189460,189460,US DOLLAR,2826,93.5,36,40,Fox Theater,Oakland,CA,United States,
5/28/2019,5/28/2019,1,Little Feat - 50th Anniversary,,1369,107530,107530,US DOLLAR,1500,92,50,100,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/25/2019,5/25/2019,1,THE SPECIALS - Encore 40th Anniversary Tour,L.A. Salami,2449,114476,114476,US DOLLAR,2800,88,45,59.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/24/2019,5/24/2019,1,Black Star / Knife Knights / Sol Development,"Knife Knights, Sol Development",1838,96001,96001,US DOLLAR,2500,74,49.5,75,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/16/2019,,1,Black Star (talib Kweli & Yasiin Bey),,,,,,,0,,,Fox Theater,Oakland,CA,United States,
5/10/2019,5/11/2019,2,Tedeschi Trucks Band,,5658,349927,349927,US DOLLAR,2829,100,59.6,85,Fox Theater,Oakland,CA,United States,
5/4/2019,5/4/2019,1,The Midnight,Violet Days,1502,39642,39642,US DOLLAR,2800,54,22,30,Fox Theater,Oakland,CA,United States,"(In-House Promotion), Another Planet Entertainment"
5/2/2019,5/2/2019,1,MGMT,Warpaint,2928,131760,131760,US DOLLAR,2928,100,45,0,Fox Theater,Oakland,CA,United States,"(In-House Promotion), Another Planet Entertainment"
4/25/2019,4/25/2019,1,Chris D&#39;Elia,Mike Lenoci,1941,68365,68365,US DOLLAR,1941,100,25,65,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/23/2019,4/23/2019,1,10 Summers Presents: The Debut Tour - Ella Mai,"Kyle Dion, Victoria Monèt",2962,106370,106370,US DOLLAR,2962,100,35,45,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/19/2019,4/19/2019,1,Maggie Rogers,Melanie Faye,2948,116446,116446,US DOLLAR,2948,100,39.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/12/2019,4/12/2019,1,Beats Antique,"Axel Thesleff, Balkan Bump",2364,83200,83200,US DOLLAR,2800,85,35,40,Fox Theater,Oakland,CA,United States,"(In-House Promotion), Another Planet Entertainment"
4/10/2019,4/10/2019,1,Dermot Kennedy,Luca Fogale,1992,58858,58858,US DOLLAR,2800,72,29.5,35,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/4/2019,4/4/2019,1,Jose González & The String Theory,,1899,101605,101605,US DOLLAR,1899,100,55,75,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/31/2019,3/31/2019,1,The Joe Budden Podcast with Rory & Mal,Rory &amp; Mal,1492,86240,86240,US DOLLAR,1842,81,45,75,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/30/2019,3/30/2019,1,Brothers Osborne,Devon Gilfillian ,2806,98315,98315,US DOLLAR,2806,100,35,40,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/29/2019,3/29/2019,1,Vince Staples,"Channel Tres, JpegMafia",2724,99330,99330,US DOLLAR,2724,100,35,49.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/27/2019,3/27/2019,1,James Bay,Noah Kahan,2753,123970,123970,US DOLLAR,2753,100,45,50,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/23/2019,3/23/2019,1,Catfish and the Bottlemen,Worn Flints,1959,68705,68705,US DOLLAR,2800,70,35,40,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/22/2019,3/22/2019,1,Foals,"Bear Hands, Kiev",2679,103343,103343,US DOLLAR,2679,100,38.5,45,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/21/2019,3/21/2019,1,Andrew McMahon in the Wilderness,"Flor, Grizfolk",1113,44008,44008,US DOLLAR,2800,40,39.5,45,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/18/2019,3/18/2019,1,Lil Baby,"Blueface, City Girls",2617,130026,130026,US DOLLAR,2828,93,49.5,55,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/15/2019,3/15/2019,1,Noname,Elton,2938,86671,86671,US DOLLAR,2938,100,29.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/12/2019,3/13/2019,2,James Blake,Khushi,5718,277323,277323,US DOLLAR,2859,100,48.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/11/2019,3/11/2019,1,Action Bronson,"Meyhem Lauren, Roc Marciano",1807,63545,63545,US DOLLAR,2828,64,35,40,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/10/2019,3/10/2019,1,LP,"Lauren Ruth Ward, Slugs",2828,77770,77770,US DOLLAR,2828,100,27.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/9/2019,3/9/2019,1,Atmosphere,"Dem Atlas, DJ Keezy, The Lioness",2854,107068,107068,US DOLLAR,2854,100,37.5,40,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/8/2019,3/8/2019,1,Tori Kelly,,2312,95380,95380,US DOLLAR,2828,82,39.5,55,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/5/2019,3/5/2019,1,Jungle,Houses,2921,102235,102235,US DOLLAR,2921,100,35,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/2/2019,3/2/2019,1,Beirut,Helado Negro,2908,119288,119288,US DOLLAR,2908,100,41,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/1/2019,3/1/2019,1,Umphrey's McGee,Ghost-Note,1791,58570,58570,US DOLLAR,2800,64,32.5,35,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/25/2019,2/26/2019,2,Robyn,Kindness,5776,354472,354472,US DOLLAR,2888,100,59.5,79.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/24/2019,2/24/2019,1,Mazzy Star,Gold Star,2913,136485,136485,US DOLLAR,2913,100,45,65,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/23/2019,2/23/2019,1,Neal Schon's Journey Through Time,,2422,144840,144840,US DOLLAR,2800,87,45,70,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/19/2019,2/19/2019,1,10 Summer Presents: The Debut Tour With Ella Mai,"Kiana Ledé, Lucky Daye",2828,90918,90918,US DOLLAR,2828,100,29,39,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/16/2019,2/16/2019,1,Tritonal,"Apek, Shaun Frank, SJ",1885,67985,67985,US DOLLAR,2800,68,30,45,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/11/2019,2/11/2019,1,The Kooks,"Barns Courtney, Future Feats",2086,73265,73265,US DOLLAR,2800,75,35,40,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/10/2019,2/10/2019,1,Bill Maher,,1966,141084,141084,US DOLLAR,1966,100,49.5,125,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/9/2019,2/9/2019,1,MØ,LPX,2386,83675,83675,US DOLLAR,2800,86,35,40,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/7/2019,2/8/2019,2,Alan Walker,Zaxx,4876,159145,159145,US DOLLAR,2818,87,25,35,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/2/2019,2/2/2019,1,Hippo Campus,"Now, Now ",2537,69865,69865,US DOLLAR,2828,90,27.5,30,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
1/26/2019,,1,LP: HEART TO MOUTH TOUR 2019,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
1/18/2019,1/18/2019,1,Dawes,,1333,48140,48140,US DOLLAR,1900,71,36,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
