,Event Date,Year,Month,Q,Quarter,Season,Day of Week,Time of Week,Number of Shows,Show Type,Headliner,Support,Number of Supporting Acts,Tickets Sold,Gross USD,Venue Capacity,Percent Tickets Sold,Minimum Ticket Price,Maximum Ticket Price,Ticket Range,Artist Start Date,Years Active,Artist Hometown,US Region,Local or Not,Miles From Home,Artist Genre,Main Genre,Hometown Latitude,Hometown Longitude
0,2009-02-06,2009,February,Q1,2009 Q1,Winter,Friday   ,Weekend,1.0,single headliner,Social Distortion,"The Black Tibetans, The Devil Makes Three",2.0,2800.0,91000.0,2800.0,100.0,32.5,32.5,0.0,1983.0,26.0,"Fullerton, California, United States",West Coast,US,364.69745869999997,Punk or Metal,punk,33.8708215,-117.9294165
1,2009-02-07,2009,February,Q1,2009 Q1,Winter,Saturday ,Weekend,1.0,single headliner,Michael Franti & Spearhead,"ALO (Animal Liberation Orchestra), Solillaquists Of Sound",2.0,2800.0,88563.0,2800.0,100.0,32.5,32.5,0.0,1994.0,15.0,"San Francisco, California, United States",West Coast,Local,8.441115687,Hip Hop,hip hop,37.7790262,-122.4199061
2,2009-02-08,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
3,2009-02-09,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
4,2009-02-10,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
5,2009-02-11,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
6,2009-02-12,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
7,2009-02-13,2009,February,Q1,2009 Q1,Winter,Friday   ,Weekend,1.0,single headliner,Will Downing,Gerald Albright,1.0,1947.0,74893.0,1947.0,100.0,39.5,49.5,10.0,1988.0,21.0,"Brooklyn, New York, New York, United States",Northeast,US,2567.263768,Soul,soul,40.6501038,-73.9495823
8,2009-02-14,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
9,2009-02-15,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
10,2009-02-16,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
11,2009-02-17,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
12,2009-02-18,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
13,2009-02-19,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14,2009-02-20,2009,February,Q1,2009 Q1,Winter,Friday   ,Weekend,1.0,festival,K'naan,"Julian Marley, K'naan, Lee ""Scratch"" Perry, Rootz Underground, Stephen Marley",5.0,2163.0,81763.0,2800.0,78.0,37.5,40.0,2.5,2006.0,3.0,"Mogadishu, Banaadir, Somalia",International,International,9577.129183,Hip Hop,hip hop,2.042778,45.338564
15,2009-02-21,2009,February,Q1,2009 Q1,Winter,Saturday ,Weekend,1.0,single headliner,CAKE,The Lovemakers,1.0,2800.0,98000.0,2800.0,100.0,35.0,35.0,0.0,1994.0,15.0,"Sacramento, California, United States",West Coast,Local,68.02761734,Rock,alternative rock,38.5815719,-121.4943996
16,2009-02-22,2009,February,Q1,2009 Q1,Winter,Sunday   ,Weekday,1.0,single headliner,Modest Mouse,"Japanese Motors, Mimicking Birds",2.0,2800.0,99400.0,2800.0,100.0,35.5,35.5,0.0,1996.0,13.0,"Issaquah, Washington, United States",West Coast,US,671.4889111,Indie,indie rock,47.5348778,-122.0432974
17,2009-02-23,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
18,2009-02-24,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
19,2009-02-25,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
20,2009-02-26,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
21,2009-02-27,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
22,2009-02-28,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
23,2009-03-01,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
24,2009-03-02,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
25,2009-03-03,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
26,2009-03-04,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
27,2009-03-05,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
28,2009-03-06,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
29,2009-03-07,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
30,2009-03-08,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
31,2009-03-09,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
32,2009-03-10,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
33,2009-03-11,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
34,2009-03-12,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
35,2009-03-13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
36,2009-03-14,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
37,2009-03-15,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
38,2009-03-16,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
39,2009-03-17,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
40,2009-03-18,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
41,2009-03-19,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
42,2009-03-20,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
43,2009-03-21,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
44,2009-03-22,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
45,2009-03-23,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
46,2009-03-24,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
47,2009-03-25,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
48,2009-03-26,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
49,2009-03-27,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
50,2009-03-28,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
51,2009-03-29,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
52,2009-03-30,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
53,2009-03-31,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
54,2009-04-01,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
55,2009-04-02,2009,April,Q2,2009 Q2,Spring,Thursday ,Weekend,1.0,single headliner,Tesla,The Leo Project,1.0,1240.0,40300.0,1900.0,66.0,32.5,32.5,0.0,1986.0,23.0,"Sacramento, California, United States",West Coast,Local,68.02761734,Rock,hard rock,38.5815719,-121.4943996
56,2009-04-03,2009,April,Q2,2009 Q2,Spring,Friday   ,Weekend,1.0,single headliner,The Moody Blues,No support,0.0,1689.0,120802.0,1689.0,100.0,45.0,85.0,40.0,1965.0,44.0,"Birmingham, West Midlands, England, United Kingdom",International,International,5260.550989,Rock,progressive rock,52.4796992,-1.9026911
57,2009-04-04,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
58,2009-04-05,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
59,2009-04-06,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
60,2009-04-07,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
61,2009-04-08,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
62,2009-04-09,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
63,2009-04-10,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
64,2009-04-11,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
65,2009-04-12,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
66,2009-04-13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
67,2009-04-14,2009,April,Q2,2009 Q2,Spring,Tuesday  ,Weekday,1.0,single headliner,Green Day,No support,0.0,2413.0,119444.0,2413.0,100.0,49.5,49.5,0.0,1990.0,19.0,"Berkeley, California, United States",West Coast,Local,4.319382774,Punk or Metal,punk rock,37.8708393,-122.2728639
68,2009-04-15,2009,April,Q2,2009 Q2,Spring,Wednesday,Weekday,1.0,single headliner,Franz Ferdinand,Born Ruffians,1.0,2501.0,87535.0,2501.0,100.0,34.5,34.5,0.0,2004.0,5.0,"Glasgow, Scotland, United Kingdom",International,International,5029.2012270000005,Indie,indie rock,55.8609825,-4.2488787
69,2009-04-16,2009,April,Q2,2009 Q2,Spring,Thursday ,Weekend,1.0,single headliner,B.B. King,Lukas Nelson &amp; Promise Of The Real,1.0,1887.0,126459.0,1887.0,100.0,45.5,85.5,40.0,1956.0,53.0,"Berclair, Mississippi, United States",South,US,1811.286344,Blues,blues,33.4717868,-90.3650851
